News_Source,Bias,Reporting,Country,Credibility,Media_Type,Traffic,Popularity_Estimate,link
Cheddar,Left-Center,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/cheddar/
Chemainus Valley Courier,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/chemainus-valley-courier-bias/
WBBM - CBS Chicago,Left-Center,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/wbbm-cbs-chicago/
Chicago Sun-Times,Left-Center,High,United States,High Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/chicago-sun-times/
Chicago City Wire,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/chicago-city-wire/
Chicago Reader,Left,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/chicago-reader/
Chicago Reporter,Left,High,United States,High Credibility,Magazine,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/the-chicago-reporter/
Chicago Tribune,Right-Center,High,United States,High Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/chicago-tribune/
Chicks on the Right,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/chicks-on-the-right/
Chico Enterprise-Record,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/chico-enterprise-record-bias/
Chico Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/chico-times/
Pueblo Chieftain,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/pueblo-chieftain-bias/
Children's Health Defense,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/childrens-health-defense/
The Defender,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-defender-childrens-health-defense-credibility/
China Internet Information Center,Left,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/china-internet-information-center/
China Daily,Questionable Sources,Mixed,China,Low Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/china-daily/
China Digital Times,Right-Center,Mostly Factual,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/china-digital-times-cdt/
China Global South Project,Left-Center,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/the-china-africa-project-cap/
The China Post,Left-Center,Mostly Factual,Taiwan,High Credibility,,High Traffic,High Traffic,https://mediabiasfactcheck.com/the-china-post/
Chinook Observer,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/chinook-observer/
Chippewa Herald,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/chippewa-herald-bias/
ChlorellaFactor.com,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/chlorellafactor-com/
Christian Action Network,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/christian-action-network/
Christian Headlines,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/christian-headlines/
Christianity Today,Right-Center,High,United States,High Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/christianity-today/
Christian News Alerts,Right,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/christian-news-alerts/
Christian Post,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/christian-post/
Christian Science,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/christian-science/
Christians for Truth,Questionable Sources,Very Low,Unknown or Invalid Region,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/christians-for-truth/
Christian Today,Right,Mixed,United Kingdom,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/christian-today/
Marion Chronicle-Tribune,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/marion-chronicle-tribune-bias/
The Chronicle of Higher Education,Left-Center,High,United States,High Credibility,,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-chronicle-of-higher-education/
Chronicles Magazine,Right,Mixed,United States,Medium Credibility,Magazine,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/chronicles-magazine-rockford/
Church Militant,Questionable Sources,Mixed,United States,Low Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/church-militant/
Cincinnati Enquirer,Least Biased,High,United States,High Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/cincinnati-enquirer/
Center for Immigration Studies,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/center-for-immigration-studies-cis/
Asheville Citizen-Times,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/asheville-citizen-times/
The Citizen (South Africa),Right-Center,High,South Africa,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-citizen-south-africa/
Citizen Critics,Left,Mostly Factual,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/citizen-critics/
Citizen Free Press,Right,Mixed,United States,Medium Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/citizen-free-press/
Citizens for Responsibility and Ethics in Washington (CREW),Left-Center,Mostly Factual,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/citizens-responsibility-ethics-washington-crew/
Citizens Journal,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/citizens-journal-bias/
Citizens United,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/citizens-united/
Citizen Truth,Left-Center,Mostly Factual,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/citizen-truth/
City Journal,Right,Mostly Factual,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/city-journal/
City and State New York,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/city-and-state-new-york/
Honolulu Civil Beat,Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/honolulu-civil-beat/
Topeka Capital-Journal,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/topeka-capital-journal/
Columbia Journalism Review,Left-Center,High,United States,High Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/columbia-journalism-review/
Clanton Advertiser,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/clanton-advertiser-bias/
Claremont Institute,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/claremont-institute/
Clarin,Right-Center,High,Argentina,High Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/clarin-bias/
Clarinda Herald-Journal,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/clarinda-herald-journal-bias/
Clarion Ledger,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/clarion-ledger/
Clarion Project,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/clarion-project/
Clash Daily,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/clash-daily/
Center for Law and Social Policy,Left,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/center-for-law-and-social-policy-clasp-bias-2/
Clay County Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/clay-county-times/
Clayton Record,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/clayton-record-bias/
Clean Technica,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/clean-technica/
WOIO - Cleveland News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/woio-cleveland-news-bias/
KPRC - Click2Houston,Least Biased,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/kprc-click2houston-bias/
Clickhole,Satire,,United States,N/A,,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/clickhole/
WDIV - ClickOnDetroit,Least Biased,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/wdiv-clickondetrioit/
WKMG - ClickOrlando,Least Biased,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/wkmg-clickorlando-bias/
Climate.News,Questionable Sources,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/climate-news/
Climate Action Tracker,Pro-Science,Very High,Germany,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/climate-action-tracker/
Climate Central,Pro-Science,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/climate-central/
Climate Change Dispatch,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/climate-change-dispatch/
Climate Home News,Left,High,United Kingdom,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/climate-home-news-bias/
Climate Depot,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/climate-depot/
Climate Feedback,Pro-Science,Very High,France,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/climate-feedback/
The Climate Reality Project,Left,Mostly Factual,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-climate-reality-project/
International Climate Science Coalition (ICSC),Conspiracy-Pseudoscience,Low,Canada,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/international-climate-science-coalition/
Climate Science & Policy Watch (CSPW),Pro-Science,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/climate-science-and-policy-watch/
Clinton Herald,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/clinton-herald-bias/
Clover Chronicle,Questionable Sources,Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/clover-chronicle-bias-credibility-fake-news/
Cloverdale Reporter,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/cloverdale-reporter-bias/
Center for a New American Security,Left-Center,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/center-for-a-new-american-security/
CNBC,Left-Center,Mostly Factual,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/cnbc/
CNET,Least Biased,High,United States,High Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/cnet/
CNN So Fake News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/cnn-so-fake-news/
CNS News,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/cns-news/
WSTM - CNYCentral,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/wstm-cnycentral-bias/
WTVH - CNYCentral,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/wtvh-cnycentral-bias/
Coachella Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/coachella-today/
Coastal GA News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/coastal-ga-news/
Coast to Coast AM,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Radio Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/coast-to-coast-am/
Cobb News,Questionable Sources,High,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/cobb-news-bias/
Cobb Reporter,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/cobb-reporter/
Cochrane,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,High Traffic,High Traffic,https://mediabiasfactcheck.com/cochrane/
Cochrane Times,Right-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/cochrane-times-bias/
Coconino News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/coconino-news/
Code Pink,Left,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/code-pink/
COED,Left-Center,Mostly Factual,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/coed-com/
Collapse.News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/collapse-news/
Collective Evolution,Conspiracy-Pseudoscience,Low,Canada,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/collective-evolution/
Columbia Reports,Left-Center,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/columbia-reports/
Columbus News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/columbus-news-bias/
The Coloradoan,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-coloradoan/
The Colorado Sun,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-colorado-sun/
Colorado Times Recorder,Left,High,United States,High Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/colorado-times-recorder-bias/
ColorLines,Left,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/colorlines/
Columbia Daily Herald,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/columbia-daily-herald/
The Columbian,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-columbian/
Columbus Free Press,Left,Mixed,United States,Medium Credibility,,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/columbus-free-press/
Columbus Standard,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/columbus-standard-bias/
Columbus Telegram,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/the-columbus-telegram-bias/
Comic Sands,Left,Mixed,United States,Medium Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/comic-sands/
Commentary Magazine,Right,Mostly Factual,United States,Medium Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/commentary-magazine/
Memphis Commercial Appeal,Least Biased,High,United States,High Credibility,,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/memphis-commercial-appeal/
Danville Commericial-News,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/danville-commercial-news-bias/
Common Cause,Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/common-cause/
Common Dreams,Left,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/common-dreams/
Commonweal Magazine,Left-Center,High,United States,High Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/commonweal-magazine/
CommonWealth fund,Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/commonwealth-fund/
Commune Magazine,Left,Mixed,United States,Medium Credibility,Magazine,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/commune-magazine/
Community Impact,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/community-impact/
Comox Valley Record,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/comox-valley-record-bias/
Complex,Left-Center,Mostly Factual,United States,High Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/complex/
Concerned Women for America,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/concerned-women-america/
Concord Monitor,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/concord-monitor/
Congress.gov,Least Biased,Very High,United States,High Credibility,Organization/Foundation,High Traffic,High Traffic,https://mediabiasfactcheck.com/congress-gov/
Conscious Life News,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conscious-life-news/
Conservapedia,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/conservapedia/
Council of Conservative Citizens,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,http://mediabiasfactcheck.com/council-of-concerned-citizens/
American Conservative Union (ACU),Right,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-conservative-union-acu-bias/
Conservative Ammo,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conservative-ammo/
Conservative Beaver,Questionable Sources,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conservative-beaver/
Conservative Brief,Right,Mostly Factual,United States,High Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/conservative-brief-bias/
Conservative Daily News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conservative-daily-news/
Conservative Daily Post,Questionable Sources,Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conservative-daily-post/
Conservative Fighters,Right,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conservative-fighters/
Conservative Firing Line,Questionable Sources,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conservative-firing-line/
Conservative Free Press,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conservative-free-press/
For the Right News,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/for-the-right-news/
Conservative Home,Right-Center,High,United Kingdom,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/conservative-home/
Conservative HQ,Right,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conservative-hq/
Conservative Institute,Right,Mostly Factual,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/conservative-institute/
Conservative Matrix,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conservative-matrix/
Conservative Opinion,Right,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conservativeopinion-com/
The Conservative Papers,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/the-conservative-papers/
Conservative Playlist,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/conservative-playlist/
Conservative Post,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conservative-post/
Conservative Review,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/conservative-review/
Conservative Revival,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conservative-revival-bias/
Conservative Tears,Satire,,United States,N/A,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conservative-tears/
Conservative Underground News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/conservative-underground-news-bias/
The Conservative Woman,Right,Mixed,United Kingdom,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-conservative-woman/
Consortium News,Left-Center,Mostly Factual,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/consortium-news/
Conspiracy Daily Update,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/conspiracy-daily-update/
Constative,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/constative-bias/
The Constitution,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/fake-news/
Constitution Daily,Least Biased,High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/constitution-daily/
Constitution Project,Left-Center,Mostly Factual,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/constitution-project/
Constitution State News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/constitution-state-news/
ConsumerLab.com,Pro-Science,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/consumerlab-com/
Consumer Reports,Least Biased,High,United States,High Credibility,Magazine,High Traffic,High Traffic,https://mediabiasfactcheck.com/consumer-reports/
Consumer Wellness Center,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/consumer-wellness-center/
Contagion,Pro-Science,Very High,United States,High Credibility,Journal,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/contagion-live-bias/
Cook Political Reports,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/cook-political-report/
Cop Block,Left,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/cop-block/
The Corbett Report,Conspiracy-Pseudoscience,Low,Japan,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-corbett-report/
Corona Transition,Questionable Sources,Low,Switzerland,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/corona-transition/
coronavirus.gov,Least Biased,High,United States,High Credibility,Organization/Foundation,High Traffic,High Traffic,https://mediabiasfactcheck.com/coronavirus-gov/
Corriere della Sera,Least Biased,High,Italy,High Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/corriere-della-sera/
Cosmic Intelligence Agency,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/cosmic-intelligence-agency/
Cosmopolitan,Left,Mixed,United States,Medium Credibility,Magazine,High Traffic,High Traffic,https://mediabiasfactcheck.com/cosmopolitan/
Cosmos Magazine,Pro-Science,High,Australia,High Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/cosmos-magazine/
Council for the National Interest,Questionable Sources,Mixed,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/council-for-the-national-interest/
Countable News,Least Biased,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/countable-news/
CounterCurrents.org,Left,Mostly Factual,India,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/countercurrents-org/
CounterPunch,Left,Mostly Factual,United States,High Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/counterpunch/
CounterThink.com,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/counterthink-com/
WCBD - Charleston News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/wcbd-charleston-news-bias/
Country Living,Least Biased,High,United States,High Credibility,Magazine,High Traffic,High Traffic,https://mediabiasfactcheck.com/country-living/
Louisville Courier-Journal,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-courier-journal/
Asheboro Courier-Tribune,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/asheboro-courier-tribune/
Russellville Courier,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/russellville-courier-bias/
Evansville Courier & Press,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/evansville-courier-press-bias/
Courthouse News Service,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/courthouse-news-service/
CourtTV,Least Biased,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/courttv-bias/
Covid.gov,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,High Traffic,High Traffic,https://mediabiasfactcheck.com/covid-gov-bias/
