veracity,Claim_by,Claim
FALSE,Claim via Social Media, The maximum altitude a crewed spaceflight can attain is 620 kilometres.
MOSTLY TRUE,Claim by Abigail Spanberger (D), “I don’t accept a dime of corporate money.”
FALSE,Claim by Viral Image, claims a call between President Joe Biden and the head of the FBI has leaked that”proves the raid on Mar-a-Lago was unlawful.”
FALSE,(International, North Korea Sends Troops to Fight in Ukraine to aid Russia
TRUE,Claim by Elizabeth Warren (D)," “40% of the folks who have student loans do not have a college diploma, four-year diploma. These are people who are truck drivers and who are nail technicians and nurses’ aides.”"
BLATANT LIE,Claim by Social Media Post, claims a new drug called ‘Strawberry Breeze’ is being sold to children in schools.
FALSE,Claim via Social Media, Executive Order 14067 will allow the federal government to “turn on and turn off your money.”
NO EVIDENCE,Claim via Social Media, Donald Trump Not Invited to Queen Elizabeth II’s Funeral?
FALSE,Claim via Social Media, “U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”
FALSE,(International," “During the special military operation [in Ukraine], many facts were revealed confirming that such laboratories developed components of biological weapons and their means of delivery.”"
MOSTLY TRUE,Claim by American Leadership Action," As a mayor, “John Fetterman chased down an innocent, unarmed Black man,” wielded a shotgun and “falsely accused the man, triggering a confrontation with police.”"
BLATANT LIE,Claim by newspunch.com, Klaus Schwab’s WEF Plans To Censor the Internet Using AI.
FALSE,Claim by Donald Trump (R), The Justice Department “stage[d]” a photo to “pretend” that Trump had left the government documents on the floor of a room at Mar-a-Lago.
FALSE,Claim by Epoch Times and Natural News, Embalmers find “strange clots” in corpses since the implementation of COVID-19 vaccines
FALSE,Claim by Russell Brand, The National Institute of Health added ivermectin to the list of Covid treatments.
FALSE,(International, NATO supplied fighter jets to Ukraine amid Russia stand-off.
MOSTLY FALSE,Claim by J.D. Vance (R), “Tim Ryan called police the new Jim Crow.”
BLATANT LIE,Claim by Video, claims an executive order issued by President Joe Biden will replace cash with digital currency in December 2022.
FALSE,Claim by Donald Trump (R)," Hillary Clinton’s private server, which she used while secretary of state from 2009 to 2013, was “crammed it full of classified information.”"
BLATANT LIE,Claim by Viral Image, An image shared on Facebook claims to show someone selling Nazi paraphernalia outside of a Trump rally in 2022.
BLATANT LIE,Claim via Social Media, The Supreme Court will put Donald Trump back in office in October.
FALSE,(International, Antarctic temperatures have declined over the past 40 years.
FALSE,Claim by Republican Governors Association, Says President Joe Biden “recently said that 48.8% of Wisconsin voters are threats to democracy.”
FALSE,Claim by Drug Possession Laws," Cannabis can treat cancer, PTSD, seizures, anxiety, glaucoma, and depression"
FALSE,Claim by Donald Trump (R)," Hillary Clinton’s private server, which she used while secretary of state from 2009 to 2013, was “plundered by foreign hackers.”"
BLATANT LIE,Claim by Lincoln Project," “Trump told you the election was stolen, ripped you off, to sucker you, to take your hard-earned money and shovel it into his pockets. … Every dollar you sent him paid to keep his shady business empire and lavish lifestyle going.”"
BLATANT LIE,Claim by Viral Video, Marjorie Taylor Greene is facing jail time for claims she made at a Trump Rally.
FALSE,(International, When a journalist asked Rahul Gandhi to show the back view of a poster he turned around.
MOSTLY FALSE,Claim by Republican Party of Florida," Democratic candidate for governor Charlie Crist and President Biden “teamed up” to “hire 87,000 new IRS agents to audit the middle class,” and Crist “supported Biden’s agenda to defund the police.”"
MISLEADING,Claim via Social Media, Consuming turpentine will kill parasites.
FALSE,Claim by Donald Trump (R)," “I ended [Nord Stream 2],” a pipeline that sends gas from Russia to Germany. “Can you imagine? [President Joe] Biden came in and he opened up the pipeline.”"
BLATANT LIE,Claim via Viral Video," “Finally! Mayorkas To Jail As Sen. Kennedy Uncovers NEW Evidence Related To HUNTER Biden’s Laptop,”"
FALSE,Claim by Charlie Crist (D), Florida Gov. Ron DeSantis “wants to ban abortion.”
FALSE,(International," “Nigeria’s latest maternal mortality ratio is 512 per 100,000 live births.”"
FALSE,Claim by Jim Marchant (R)," “Here in Nevada, the DMV registers everybody (to vote) and so that means illegals. They don’t check.”"
BLATANT LIE,Claim by Video, claims Rep. Marjorie Taylor Greene auditioned for American Idol using a fake name.
FALSE,Claim by Donald Trump (R), The Russia “hoax” that Donald Trump colluded with the Russians during the 2016 campaign was “developed by Hillary Clinton and a group of people.”
MOSTLY TRUE,Claim by Hillary Clinton (D), “The fact is that I had zero emails that were classified.”
BLATANT LIE,Claim via Social Media, President Joe Biden “employed actors to portray Marine guards” during a Sept. 1 speech.
FALSE,(International," “Almost all the grain exported from Ukraine is sent not to the poorest developing countries, but to European Union countries.”"
FALSE,Claim by Viral image, Video shows Tucker Carlson speechless in interview with a guest.
BLATANT LIE,Claim by Viral Post, Gavin Newsom considered a law banning Californians from moving to Texas or Florida
FALSE,Claim by Donald Trump (R), The Justice Department obtained a search warrant for Mar-a-Lago on “a phony pretext.”
MISLEADING,Claim by Lt. Governor John Fetterman (D), Dr Oz Is Against Abortion in Rape and Incest Cases
BLATANT LIE,Claim via Social Media," The National Guard was activated Jan. 6, 2021, and “is in complete control.”"
NO EVIDENCE,(International, The number of excess deaths in Europe gone up a “shocking 691%” in children since the European Medicines Agency (EMA) first approved the COVID vaccine for them.
FALSE,Claim by Gateway Pundit, Bank of America “announced a new mortgage home loan program for first-time homebuyers. But only blacks and Hispanics will be eligible.”
BLATANT LIE,Claim by Post, claims former President Donald Trump said ‘dark times’ are ahead for the U.S.
FALSE,Claim via Social Media," FEMA won’t accept an application for assistance if the disaster victim has a GoFundMe page,"
FALSE,Claim via Social Media, “Walmart management is helping with rising prices with $500 grocery cards for $2.”
FALSE,Claim via Social Media and The Blaze, Ivermectin was “vindicated (again)” in a peer-reviewed study that showed a 92% reduction in COVID-19 mortality.
FALSE,(International," “Nigeria’s latest maternal mortality ratio is 512 per 100,000 live births.”"
FALSE,Claim via Social Media, An obscure filing with the Federal Election Commission shows Biden has formally announced his bid for another term.
BLATANT LIE,Claim by Video, claims Sen. Lindsey Graham asked FBI Director Christopher Wray to disclose who ordered the Mar-a-Lago raid
FALSE,Claim by National Republican Senatorial Committee, Says Mandela Barnes “supports stripping health care away from millions.”
FALSE,Claim by Viral Image, An image shared on Facebook claims the National Institutes of Health (NIH) just listed ivermectin as an antiviral therapy for COVID-19.
BLATANT LIE,Claim via Social Media, WEF Tweeted About ‘When Being Anti-Bug Is Bigotry’
FALSE,(International, The majority of scientists in the 1970s supported the global cooling hypothesis.
MOSTLY FALSE,Claim by Charlie Christ (D), Gov. Ron DeSantis raised “taxes on the middle class by more than $1.5 billion while giving away $624 million to big corporations.”
BLATANT LIE,Claim by Mark Ghalili, “We allow toxic metals such as aluminum and mercury in shots”
FALSE,Claim by Joe Biden (D)," “Do you realize the bullet out of an AR-15 travels five times as rapidly as a bullet shot out of any other gun, five times — is lighter — and can pierce Kevlar?”"
BLATANT LIE,Claim via Social Media," Sarah Palin said liberals are secularizing Christian holidays, and Jesus celebrated Easter."
BLATANT LIE,Claim via Social Media, Foot Tablets Will Make A Person Lose Weight.
FALSE,(International, Video shows Rahul Gandhi using litre as unit of measurement for atta.
MOSTLY FALSE,Claim by Tom Cotton (R)," “60% of Alaska voters voted for a Republican, but thanks to a convoluted process and ballot exhaustion — which disenfranchises voters — a Democrat ‘won.’”"
BLATANT LIE,Claim by Doctors for Covid Ethics, mRNA vaccines cause “vascular and organ damage” that can lead to death.
MOSTLY TRUE,Claim by Joe Biden (D)," “MAGA Republicans … refuse to accept the results of a free election. And they’re working right now, as I speak, in state after state to give power to decide elections in America to partisans and cronies, empowering election deniers to undermine democracy itself.”"
BLATANT LIE,Claim via Social Media, Has the NIH quietly approved ivermectin as a treatment for COVID-19?
BLATANT LIE,Claim via Viral Image, An image from the WEF shows what diets will look like in 2030.
FALSE,(International, Wind and solar power contribute less than two percent of the National Electricity Market’s (NEM) total energy.
MOSTLY FALSE,Claim by Joe Biden (D)," “If you don’t have the Affordable Care Act, people … with a preexisting cannot get insurance.”"
BLATANT LIE,Claim by Climate Change is Crap, “Believing CO2 controls the climate is pretty close to believing in magic.”
MISLEADING,Claim by Donald Trump (R), Donald Trump Polling “Through The Roof” Since FBI Raid.
FALSE,Claim by Adam Laxalt (R), The public health order Title 42 is “the last tool Border Patrol has to stop the overwhelming flood of illegal immigrants pouring into our country.”
BLATANT LIE,Claim via Social Media, Image shows Fox News segment on “gay hypnosis.”
FALSE,(International, Unvaccinated people are not dying from COVID-19.
MOSTLY FALSE,Claim by the Democratic Party of Wisconsin, Says “Tim Michels doesn’t think gay people should be out in public.”
BLATANT LIE,Claim via Social Media, Advice on Pfizer vaccine use during pregnancy changed.
MOSTLY FALSE,Claim by CatholicVote, Three churches were targeted during arson attacks over the summer “because they protect unborn babies and women in need.”
FALSE,Claim by Kanye West, “Did you use toothpaste with fluoride today? It blocks your pineal gland. And they put children on it.”
MOSTLY FALSE,Claim by Jim Jordan and Dan Crenshaw (R), Republicans say 87% of American adults don’t have student loans
FALSE,(International, Video shows Hindu woman being brutally tortured in Pakistan
TRUE,Claim by Social media," A Florida car dealer quoted $30,000 to replace battery on a Chevrolet Volt."
BLATANT LIE,Claim via Social Media, The FBI “spent more time investigating” the Jan. 6 Capitol attack than 9/11.
MOSTLY FALSE,Claim by American Action Network, Joe Biden’s student debt forgiveness plan is a “bailout for rich kids.”
BLATANT LIE,Claim by Tucker Carlson," “At the same moment that Biden is accusing Republicans of fascism, his DHS has published a cartoon on Facebook urging children to report their parents to federal authorities if their parents post something called covid disinformation.”"
BLATANT LIE,Claim via Social media, Antarctica has not warmed in 70 years.
FALSE,(International, Microwaved foods lead to a higher percentage of cancerous cells in the bloodstream.
TRUE,Claim via Social Media, Image claims to show a list of “Republican members of Congress whose PPP loans were forgiven.”
FALSE,Claim via Social Media, Monkeypox is a sexually transmitted disease among gay men.
MOSTLY FALSE,Claim by National Republican Senatorial Committee, Says Democratic Senate candidate Mandela Barnes “supports abolishing ICE.”
BLATANT LIE,Claim by Joseph Mercola, WHO’s monkeypox public health emergency declaration “appears to be financially motivated.”
BLATANT LIE,Claim by Mark Finchem (R)," “In Arizona, we have flood the zone with fake ballots.”"
FALSE,(International, 10 thousand NATO Troops entered the territory of Ukraine!
MOSTLY FALSE,Claim by Deidre DeJear (D), “$1.5 billion of your taxpayer money is sitting in an account” that can be used for other purposes.
MISLEADING,Claim by Mark Steyn, “[T]he peak of vaccine mandates in America […] coincides with massive excess mortality among people in the prime of life”
FALSE,Claim by Viral image, “Nearly half of pregnant women in Pfizer trial miscarried.”
BLATANT LIE,Claim via Social Media, Dominion voting machines failed in a Colorado 2022 primary recount
BLATANT LIE,Claim via Social Media, Trump National Golf Club in Bedminster New Jersey will pay no taxes due to Ivana trump’s gravesite.
FALSE,(International, “We strictly comply with humanitarian law during the special operation.”
FALSE,Claim via Social Media, COVID-19 vaccines are responsible for the health problems featured in recent news reports.
BLATANT LIE,Claim via Social Media," In 2016, Trump said, “Anyone being investigated by the FBI is not qualified to be the President of the United States” on six different dates."
BLATANT LIE,Claim by Viral Video, Matt Gaetz revealed documents that implicated Jerry Nadler.
BLATANT LIE,Claim via Social Media, Human traffickers marking cars to identify future victims in Pennsylvania.
BLATANT LIE,Claim by Viral Image, An image shows a chyron on Tucker Carlson’s show that said “straight men turning homo after ‘gay hypnosis.’”
FALSE,(International," “[Maria Butina] was unfairly held in prison for over 18 months, abused, harassed and tortured.”"
FALSE,Claim by Viral Image, claims supporters of former President Donald Trump are the only people who have been arrested for election fraud.
BLATANT LIE,Claim by Viral image, Half of the votes for Joe Biden in the 2020 presidential election “are from dead people.”
BLATANT LIE,Claim via Social media, SIDS almost disappeared in 2020 when baby vaccination rates dropped.
BLATANT LIE,Claim via Social Media, Monkeypox is transmitted by mosquitoes.
BLATANT LIE,Claim by Viral Image, claims National Institute of Allergy and Infectious Diseases (NIAID) Director Anthony Fauci referred to young children as “test subjects” during an MSNBC interview.
FALSE,(International, Sixty percent of people participating in the First Nations Regional Dialogue events were non-Indigenous.
MOSTLY TRUE,Claim by Mark Kelly (D), Blake Masters “wants to pass a national ban on abortion.”
BLATANT LIE,Claim via Social Media, Airlines Ban Vaccinated Travelers From Flying.
FALSE,Claim by Republican Party of Florida, Charlie Crist “supported Biden’s agenda to defund the police.”
BLATANT LIE,Claim via Social Media, Ben Shapiro had a Paycheck Protection Program (PPP) loan forgiven.
BLATANT LIE,Claim via Social Media," “Monkeypox is a complete, fake sham” that’s “designed to force lockdowns, mandates and shots.”"
FALSE,(International, “Washington’s weaponizing food hurts world.”
MOSTLY TRUE,Claim by Ron Johnson (R)," “Last year the IRS audited Americans earning less than $25,000 a year at five times the rate of other groups.”"
BLATANT LIE,Claim via Social Media, Florida has a banned book list.
FALSE,Claim via Social Media, Donald Trump revoked Merrick Garland’s Supreme Court nomination when he became president
BLATANT LIE,Claim via Social Media, “Congress just voted to exempt themselves from IRS auditing of their personal finances.”
BLATANT LIE,Claim by thegatewaypundit.com, The U.S. Centers for Disease Control and Prevention (CDC) just dramatically changed their claims about mRNA vaccine safety.
FALSE,(International," In England, “COVID-19 vaccinated children are 4,423% more likely to die of any cause and 13,633% more likely to die of COVID-19 than unvaccinated children.”"
MOSTLY FALSE,Claim by Joe Biden (D), The American Rescue Plan “helped create nearly 10 million new jobs.”
BLATANT LIE,Claim by the Daily Sceptic," “Natural variation explains a substantial part of global warming observed since 1850;” no statistical evidence that global warming is intensifying natural disasters, or making them more frequent."
FALSE,Claim via Social Media, “Marjorie Taylor Greene was raided by Joe Biden’s DOJ last night.”
BLATANT LIE,Claim by Naomi Wolfe, “44 Percent of Pregnant Women in Pfizer Trial Lost Their Babies”
BLATANT LIE,Claim by Viral image, Photo shows parents who changed their baby’s gender identity.
FALSE,(International, ABS-CBN desecrated the Constitution by violating the exclusive Filipino ownership and management of mass media through the issuance of Philippine Depositary Receipts.
FALSE,Claim by NC Trooper Ben Kral, “Violent crime (is) at an all-time high.”
BLATANT LIE,Claim by Viral Image, purportedly shows U.S. Pennsylvania Senate candidate Mehmet Oz kissing former President Donald Trump’s Hollywood star.
MOSTLY FALSE,Claim by Tom Cotton (R)," The Inflation Reduction Act “doubles the size of the IRS, raises your taxes and spends billions on a green energy slush fund.”"
BLATANT LIE,Claim via Social Media, Freedom of Information requests show phone calls between Ray Epps and Nancy Pelosi’s office before the Jan. 6 attack
BLATANT LIE,Claim via Social Media, Donald Trump is Representing Himself in Lawsuit Against DOJ.
FALSE,(International, The HAARP ionospheric research facility can be used to change the weather.
FALSE,Claim via Social Media, “96% of U.S. climate data is corrupted.”
BLATANT LIE,Claim via Social Media, Rep. Alexandria Ocasio-Cortez has a net worth of $29 million
FALSE,Claim via KUSI News, “67% of the deaths are from the vaccinated”; “67% of your COVID deaths that you’re creating are from your virus that you’re putting within these people”
FALSE,Claim by entrepreneur Steve Kirsch, Governments around the world kill 12 million people by giving them COVID shots.
BLATANT LIE,Claim by Viral image, “Tulsi Gabbard Venmos Nancy Pelosi $600.01 forcing the IRS to audit Pelosi’s finances.”
FALSE,(International, CBC reported that Justin Trudeau’s youngest son came out as transgender
BLATANT LIE,Claim via Social Media, Video implies talk between Barack Obama and Kamala Harris has coded references to pedophilia.
BLATANT LIE,Claim via Social Media, claims to show a memo from the World Economic Forum (WEF) detailing a special commission’s review of “Great Reset Phase I.”
FALSE,Claim via Social Media, A doctor diagnosed that a man had Monkeypox by looking at skin lesions on his legs while on a metro trip
FALSE,Claim by Tim Scott (R)," “The Congressional Budget Office says 90% of the revenue generated from the new IRS agents will come from people making less than $200,000 … and the revenue generated will be $300-plus billion.”"
BLATANT LIE,Claim via Social Media, Donald Trump said in a Truth Social post “Can’t trust a guy named Weisselberg – know what I mean?” after the Trump Org CFO pled guilty.
FALSE,(International, President Zelenskiy has sold off 17 million hectares of Ukrainian farmland to US corporations.
BLATANT LIE,Claim via Social Media, Leaked messages “between former President Barack Obama and Judge Reinhart foreshadowed the unlawful raid on former Trump’s Mar-a-Lago estate.”
BLATANT LIE,Claim by Viral Image, claims Republican Senate Minority Leader Mitch McConnell said he would resign if he did not become Senate majority leader in November.
FALSE,Claim via Social Media, “They found Polio in the New York City Water.”
BLATANT LIE,Claim by Social media, Marjorie Taylor Greene ordered Georgia teachers to carry guns.
NO EVIDENCE,Claim by Alex Berenson, “New paper suggests Covid mRNA vaccination rates are linked to increases in overall deaths”
FALSE,(International, There were no unvaccinated people among the 164 who died of COVID-19 in NSW in the last week of July.
BLATANT LIE,Claim via Social Media," Donald Trump Jr. tweeted, “While my Father loves almost all his supporters, please do not come to Mar-a-Lago to support President Trump. We have many important people coming through the club and need to keep it clean.”"
BLATANT LIE,Claim via Social Media, Rayla Campbell Was Arrested For Owning “Gender Queer” Book
FALSE,Claim by Joe Biden (D), “Investments in the CHIPS and Science Law will create more than 1 million construction jobs alone over the next 6 years building semiconductor factories in America.”
BLATANT LIE,Claim via Social Media, “Send your postcards to 5 key states to decertify fraud” in the 2020 election.
BLATANT LIE,Claim by newspunch.com, WEF Announce Recruitment of ‘Information Warriors’ To Control the Narrative on Social Media
FALSE,(International, Why the Javelin has proven ineffective in Ukraine.”
TRUE,Claim by the League of Conservation Voters, Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull—-’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”
BLATANT LIE,Claim via Social Media, Schools Can Prescribe Adderall To Students.
MISLEADING,Claim by Joe Biden (D)," “Gas prices are coming down. They’re down almost a dollar a gallon … from where they were just a month ago. And, you know, we’re making progress.”"
BLATANT LIE,Claim by Donald Trump (R), “Crime is rampant like never before.”
MOSTLY TRUE,Claim by Glenn Grothman (R)," “With three months remaining in the Fiscal Year, (the border patrol) has already encountered more illegal immigrants along the Southwest border” than in any previous fiscal year."
FALSE,(International," “We have taken the decision to conduct a special military operation in Ukraine, a decision which is in full conformity with the Charter of the United Nations.”"
MOSTLY FALSE,Claim by Rick Scott (R)," The IRS is adding 87,000 new agents, making the IRS “larger than (the) Pentagon, Federal Bureau of Investigation, Customs and Border Protection and the State Department combined.”"
BLATANT LIE,Claim by Viral Image, claims former President Donald Trump sent an email about “the nuke codes” after the raid on Mar-a-Lago.
NO EVIDENCE,Claim by Donald Trump (R), Trump “had a “standing order … that documents removed from the Oval Office and taken to the [Mar-a-Lago] residence were deemed to be declassified the moment he removed them.”
BLATANT LIE,Claim via Social Media, Woman Found At Bottom Of River Bound By Concrete Block Linked To Suspicious Death Of Former Clinton Advisor Epstein Fixer
BLATANT LIE,Claim by Just The News and Social Media, Jim Jordan Said 14 FBI Agents Spoke To Him After Trump Raid
FALSE,(International," North Korea is sending 100,000 soldiers to aid Russia to ‘occupy’ Ukraine."
MOSTLY FALSE,Claim by Joe Biden (D)," “Since the start of my presidency, my economic plan has helped … achieve zero percent inflation in July.”"
BLATANT LIE,Claim by Viral Image, purportedly shows a tweet from CNN stating that Republican Florida Gov. Ron DeSantis signed an order directing state officials to cease cooperation with federal agencies.
FALSE,Claim via Social Media, Electric cars in California are not sustainable as only 10% of their batteries are recyclable and the state can’t recycle them.
BLATANT LIE,Claim via Social Media, Earth’s oil supplies replenish more quickly than they are extracted
BLATANT LIE,Claim via Social Media, Pittsburgh Steelers coach Mike Tomlin banned kneeling during the national anthem
FALSE,(International, Over three quarters of migrants crossed by small boats in 2021.
MOSTLY FALSE,Claim by Republican Governors Association, “Governor Tony Evers gave counties the green light to defund Wisconsin’s police departments.”
BLATANT LIE,Claim via Social Media, Wind turbine generators typically only last three to four years.
BLATANT LIE,Claim via Social Media, “They put” monkeypox in the water in Atlanta.
BLATANT LIE,Claim by Viral Post, claims Republican Georgia Rep. Marjorie Taylor Greene recently recited a quote from Nazi leader Adolf Hitler about Christianity.
BLATANT LIE,Claim via Social Media, “Bill Gates and AOC say that a cow emits more pollution than a car.”
FALSE,(International, Photo shows sea of abandoned electric cars in France because “it was too expensive to replace the batteries.”
FALSE,Claim via Social Media, “China launch attack from 68 aircraft and destroys Taiwan armory” after visit by Nancy Pelosi.
BLATANT LIE,Claim via Social Media, Cancer occurs when “your body is full of acidity”; alkalizing your body prevents cancer
BLATANT LIE,Claim via Social Media," Photo shows a “massive” crowd at a Trump rally in Wisconsin on Aug. 5, 2022."
FALSE,Claim by Donald Trump (R)," “We are no longer energy independent or energy dominant, which we were just two short years ago.”"
NO EVIDENCE,Claim by Social media posts, Biden “had his department of justice’s FBI raid the private home of the leading candidate to replace him.”
FALSE,(International, Humans are responsible for just three per cent of atmospheric CO2.
FALSE,Claim via Social Media, “Boston Children’s Hospital is now offering ‘gender-affirming hysterectomies’ for young girls.”
BLATANT LIE,Claim via Social Media, Ron DeSantis went on Hannity to defend the FBI raid on Mar A Lago
BLATANT LIE,Claim via Social Media, “Millions of people will become felons overnight” because of the Assault Weapons Ban of 2022.
MOSTLY FALSE,Claim by Donald Trump (R), Trump Claims That Inflation Bill Raises Middle Income Taxes
FALSE,Claim via Social Media, Biden spent 15 times more securing Ukraine than Trump spent on US border
FALSE,(International," We’re not witnessing an outbreak of monkeypox across first-world countries, but the consequences of the damage that has been caused to immune systems by the Covid-19 vaccines."
FALSE,Claim by Matt Gaetz (R), The government is arming up the IRS because “Joe Biden is raising taxes and disarming Americans.”
BLATANT LIE,Claim via Social Media, ‘The View’ settled with Kyle Rittenhouse for $22 million.
BLATANT LIE,Claim by Donald Trump (R)," “President Barack Hussein Obama kept 33 million pages of documents, much of them classified. How many of them pertained to nuclear? Word is, lots!”"
MOSTLY FALSE,Claim by Judicial Watch, Donald Trump was allowed to destroy classified documents.
FALSE,Claim by Stacy Abrams (D), “Brian Kemp wants to investigate and punish women for having miscarriages.”
FALSE,(International, More children suffered a severe reaction to the Covd-19 vaccine than required oxygen therapy for Covid-19.
MOSTLY FALSE,Claim by Kevin McCarthy (R)," “Democrats’ new army of 87,000 IRS agents will be coming for you — with 710,000 new audits for Americans who earn less than $75k.”"
FALSE,Claim via Social Media, A Florida law allows military veterans’ spouses to receive teaching certificates without bachelor’s degrees.
FALSE EQUIVALENCY,Claim by Donald Trump (R)," “What is the difference between this and Watergate, where operatives broke into the Democrat(ic) National Committee? Here, in reverse, Democrats broke into the home of the 45th President of the United States.”"
FALSE,Claim via Social Media, Mississippi just passed a law allowing all teachers with permits to carry guns on campus
MOSTLY FALSE,Claim by Ron DeSantis (R), “They are literally chopping off the private parts of young kids.”
FALSE,(International, In 2006 World Health Organisation (WHO) members signed away governance in the event of a ‘level four pandemic’.
FALSE,Claim via Social Media," Former President Donald Trump asked “for troops around the Capitol to make sure everyone is safe,” on Jan. 6, 2021, but was “turned down by the Democrats.”"
FALSE,Claim by Keith Olbermann, Trump Appointed Judge Who Approved FBI Mar-A-Lago Raid
FALSE,Claim by Rachel Morgan, titanium dioxide in tampons are responsible for reproductive cancers
BLATANT LIE,Claim via Social Media, Food shortages planned by the government AND crops being burned.
MOSTLY TRUE,Claim by Michael Easley Jr. (D), “North Carolina is among some of the top states in the country for the number of ghost guns that are seized as crime guns.”
FALSE,(International, The hottest decade on record occurred nearly 100 years ago.
MOSTLY TRUE,Claim by Mandela Barnes (D), “We have more oil and gas permits than ever before right now.”
BLATANT LIE,Claim via Social Media, Monkeypox is a side effect of the COVID-19 vaccine.
FALSE,Claim via Social Media, “Ted Cruz leaks new document obtained from Hunter’s laptop implicating Nancy Pelosi.”
BLATANT LIE,Claim via Social Media," A video shows antifa inside the Capitol building with floor plans and dressed as Trump supporters on Jan. 6, proving the attack was a setup."
MOSTLY TRUE,Claim by Beto O’Rourke (D)," Under Abbott, Texas leads the nation in rape offenses while the rate of arrests for rape has fallen by nearly HALF."
FALSE,(International, George Soros was banned from Hungary.
FALSE,Claim by Karine Jean-Pierre, Overturning Roe v. Wade was an “unconstitutional action by” the Supreme Court.
BLATANT LIE,Claim via Social Media, Viruses have never been isolated and there is no measles virus.
FALSE,Claim by Gateway Pundit, “THREE DOCTORS From the Same Hospital ‘Die Suddenly’ in the Same Week After Hospital Mandates Fourth COVID Shot.”
BLATANT LIE,Claim via Social Media, COVID-19 vaccines create “engineered biostructures” inside human arteries.
BLATANT LIE,Claim via Social Media, Brittney Griner Was Ordered By Russia To Take DNA Gender Test.
FALSE,(International, World Health Organization expelled from Russia and Moscow offices closed.
FALSE,Claim via Social Media, Al Qaeda leader Ayman al-Zawahiri died from asthma in 2020.
BLATANT LIE,Claim via Social Media, Video Shows Children Being Saved From Human Trafficker Selling Them For Adrenochrome.
FALSE,Claim by American Prosperity Alliance, The Senate Democrats’ reconciliation bill “will strip $300 billion from Medicare.”
BLATANT LIE,Claim via social media and Marjorie Taylor Greene, Antifa + Feds = false Flag share this NOW.
BLATANT LIE,Claim via Social media, There were no shortages when Donald Trump was president
FALSE,(International, Germany tried switching to wind and solar power and ended up producing more carbon dioxide.
FALSE,Claim by Tomi Lahren, “Biden wants to give illegals ID cards so they can start collecting American benefits.”
BLATANT LIE,Claim via Social Media, Disposable COVID-19 testing swabs that have been sterilized using ethylene oxide gas are carcinogenic and considered dangerous when used daily.
FALSE,Claim by Meme, “CDC has now classified this Monkeypox as airborne and anybody within 15 ft can catch it.”
BLATANT LIE,Claim by CBN News, Carbon dioxide is not a climate heat driver; we had an ice age when the Earth had extraordinarily larger amounts of carbon dioxide; in the 1970s scientists thought we were going to have a new ice age.
BLATANT LIE,Claim via Social Media, Suggests root canals are linked to breast cancer.
FALSE,(International, Virus variants become less severe over time.
MOSTLY FALSE,Claim by Rebecca Kleefisch (R), “Tim Michels pushed for years to raise (Wisconsin’s) gas tax.”
BLATANT LIE,Claim by (Chiropractor) Gary Brecka, Excess folic acid from food causes ADHD; folic acid is a dangerous chemical in food.
FALSE,Claim by Meme, Monkeypox “typically last 2-4 months.”
BLATANT LIE,Claim by Social media, Global warming is from solar winds and changes in Earth’s magnetic field
TRUE,Claim by Jon Stewart, Jon Stewart Says That Toxic Burn Pit Bill Didn’t Change?
FALSE,(International, United States House Speaker Nancy Pelosi secretly entered Taiwan using a submarine.
MOSTLY FALSE,Claim by Mehmet Oz (R), John Fetterman wants to “eliminate life sentences for murderers.”
BLATANT LIE,Claim via Social Media, COVID vaccine trials skipped animal testing and went straight to people because all the animals were dying.
FALSE,Claim via Social Media, Nancy Pelosi and Democrats “want to turn 150 million Americans into felons overnight” with HR 1808.
BLATANT LIE,Claim via Social Media," Greenpeace Placed Banner On Trump Tower July 28, 2022."
FALSE,Claim by John Coleman, “Climate change is not happening.”
FALSE,(International, Indonesian President Joko Widodo declaring war on Malaysia
UNPROVEN,Claim by Tucker Carlson," “Germany’s Ministry of Health found that 1 in 5,000 Germans have suffered ‘serious side effects after a COVID-19 vaccine.'”"
BLATANT LIE,Claim by Suspicious 0bservers," Scientists have neglected the effect of solar particles, cosmic rays, the interplanetary magnetic field and Earth’s weakening magnetic field to conclude climate change is due to human activity."
FALSE,Claim via Social Media, “The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”
BLATANT LIE,Claim by Post, claims former President Donald Trump said he would abolish the IRS if re-elected
FALSE,Claim via Social Media, “‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.”
FALSE,(International," New Zealand has passed the world’s most extreme abortion legislation, allowing abortions on demand until birth."
MOSTLY FALSE,Claim by Rebecca Kleefisch (R)," “There is absolutely no reason why Wisconsin should be facing a worker shortage to the level we are when there are 123,000 more able-bodied childless adults on BadgerCare since the pandemic.”"
BLATANT LIE,Claim via Social Media, claims Russia expelled the World Health Organization (WHO) from its country and closed its offices in Moscow.
BLATANT LIE,Claim via Social Media, 1922 news article about the Arctic said sea level rise would make coastal cities uninhabitable ‘within a few years’
BLATANT LIE,Claim via Social Media, Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.
FALSE,Claim by Dinesh D’Souza, Atlantic article touts “quiet courage” of Biden’s negative growth economy.
FALSE,(International, The New Zealand government plans to lock down schools for 72 hours with children inside.
